age,ielts_score,CGPA,work_experience,financial_status,interview_country,visa_approved
26,6.7,3.81,3,High,UK,1
23,6.3,2.36,5,Medium,Australia,0
32,7.9,3.77,5,Medium,UK,1
34,7.8,3.0,4,High,USA,0
30,6.3,2.36,2,Medium,Canada,0
27,6.7,3.62,2,Medium,Germany,1
32,5.8,3.3,1,Medium,Germany,0
24,7.7,2.69,2,Medium,USA,0
26,6.6,2.6,5,Medium,UK,0
29,5.5,2.84,0,Medium,UK,0
22,5.5,2.27,0,High,Australia,0
26,6.3,3.62,3,Medium,UK,0
30,8.0,2.56,3,High,Canada,0
30,5.1,3.65,2,Low,UK,0
27,6.0,3.46,2,Medium,USA,0
24,5.6,3.88,3,Medium,UK,0
23,8.8,2.2,5,High,Germany,0
27,7.8,2.7,3,High,UK,0
27,5.9,3.25,1,Medium,Canada,0
22,5.8,3.72,3,Medium,USA,0
25,8.4,2.31,4,Low,Australia,0
24,5.8,3.72,3,Medium,Germany,0
21,9.0,2.13,3,Medium,Germany,0
27,6.1,2.95,2,High,UK,0
31,5.3,2.17,3,Medium,USA,0
33,7.8,2.3,2,Medium,Australia,0
25,7.4,3.55,4,Low,Germany,0
21,9.0,2.04,4,Medium,Germany,0
31,8.2,3.11,0,High,USA,0
24,6.7,2.2,0,High,UK,0
20,7.7,3.62,1,Low,USA,0
31,8.3,3.62,5,Low,UK,0
29,7.1,3.41,2,Medium,UK,1
25,6.1,3.51,0,High,Canada,0
32,5.8,3.18,4,Medium,UK,0
31,6.2,2.97,4,Medium,UK,0
28,8.4,2.82,5,High,USA,0
20,6.5,3.32,2,Medium,USA,0
30,6.1,2.77,0,Medium,Australia,0
30,8.2,2.01,4,Low,Canada,0
34,5.1,2.2,5,Medium,UK,0
29,7.4,3.3,3,Low,Australia,0
31,8.5,2.73,2,Medium,UK,0
31,6.6,3.98,1,Low,Germany,0
34,6.1,2.71,4,Low,UK,0
33,7.0,2.22,2,Low,Germany,0
33,7.9,2.66,5,Low,USA,0
34,7.1,3.37,2,Medium,Canada,1
33,5.0,3.06,3,Low,USA,0
22,5.3,3.22,4,Low,Canada,0
31,7.9,2.22,1,Medium,Canada,0
26,6.6,3.65,5,Medium,UK,1
23,8.1,3.8,1,Medium,Canada,1
28,7.6,2.29,2,Medium,USA,0
22,7.3,3.25,0,Low,UK,0
24,8.6,2.46,4,Medium,UK,0
22,5.1,2.36,1,Medium,USA,0
26,5.6,2.41,1,Low,USA,0
24,7.5,3.04,4,High,Canada,1
28,5.3,3.77,0,Low,USA,0
26,7.6,3.64,3,High,Canada,1
