transaction_id,customer_id,customer_age,customer_tenure_months,merchant_category,merchant_country,is_foreign,is_high_risk_country,transaction_type,card_present,transaction_hour,time_of_day,amount,device_score,num_transactions_30d,avg_monthly_spend,days_since_last_tx,new_card,is_fraud
2309,442962,26,1,electronics,FR,1,0,online,0,15,afternoon,148.09,0.0,7,1420.95,7,1,0
22405,745044,25,18,travel,GB,1,0,in-store,1,14,afternoon,35.44,0.295,7,3008.22,22,0,0
23398,847417,26,7,pharmacy,BD,1,1,online,0,23,evening,7.54,0.195,6,3440.71,9,0,0
25059,396455,45,37,fashion,PK,0,0,online,0,6,morning,46.59,0.097,5,2188.89,4,0,0
2665,427825,42,41,restaurants,PK,0,0,online,0,19,evening,9.71,0.724,8,3234.22,2,0,0
8512,456918,58,1,services,DE,1,0,online,0,19,evening,33.45,0.144,8,929.1,11,1,0
5149,300339,39,69,travel,IN,1,0,in-store,1,15,afternoon,14.78,0.139,6,3899.17,2,0,0
7791,803335,38,9,restaurants,US,1,0,in-store,1,15,afternoon,3.65,0.285,2,4399.9,7,0,0
11312,297127,30,9,others,AE,1,0,online,0,8,morning,107.13,0.68,8,5894.82,38,0,1
19044,751286,39,0,electronics,PK,0,0,in-store,1,20,evening,19.1,0.241,6,2532.21,0,1,0
10785,743784,28,16,grocery,PK,0,0,online,0,0,night,7.81,0.123,3,3275.14,2,0,0
22247,734163,23,41,grocery,GB,1,0,in-store,1,8,morning,10.43,0.234,6,2973.19,4,0,0
3269,821909,47,114,restaurants,US,1,0,online,0,23,evening,3.31,0.235,10,5819.69,0,0,0
15948,641028,36,42,electronics,CN,1,1,mobile,0,4,night,198.5,0.173,3,4740.08,4,0,0
14978,264714,39,62,pharmacy,US,1,0,online,0,14,afternoon,88.84,0.072,3,528.06,9,0,0
14475,220787,20,3,restaurants,ES,1,0,in-store,1,20,evening,30.26,0.195,4,4994.77,8,0,0
28695,744615,27,3,entertainment,GB,1,0,online,0,2,night,7.32,0.073,5,3507.56,8,0,0
14055,120951,41,33,entertainment,IN,1,0,online,0,8,morning,32.57,0.017,10,1475.77,12,0,0
26546,308294,44,20,electronics,FR,1,0,online,0,15,afternoon,13.33,0.162,10,6464.92,10,0,0
14981,365953,36,10,pharmacy,DE,1,0,mobile,0,23,evening,83.91,0.32,3,3726.58,34,0,0
17637,302252,18,34,electronics,ES,1,0,online,0,15,afternoon,26.3,0.113,6,5131.14,14,0,0
3932,510925,36,38,travel,US,1,0,online,0,19,evening,19.92,0.144,4,998.25,1,0,0
8388,317070,26,12,fashion,PK,0,0,online,0,14,afternoon,11.91,0.0,6,3766.94,13,0,0
8029,654768,42,48,fashion,CN,1,1,in-store,1,12,afternoon,13.03,0.118,8,1351.34,9,0,0
9483,667827,42,13,utilities,PK,0,0,online,0,17,afternoon,95.34,0.0,5,4159.97,44,0,0
22573,467101,18,19,electronics,PK,0,0,in-store,1,17,afternoon,130.67,0.137,7,3169.57,13,0,0
15108,641486,34,25,electronics,CN,1,1,online,0,13,afternoon,168.85,0.039,7,3596.88,5,0,1
3674,408449,44,29,restaurants,Other,1,0,in-store,1,12,afternoon,118.84,0.13,6,3048.97,19,0,0
21389,723267,18,5,others,NG,1,1,mobile,0,8,morning,42.29,0.033,3,2116.32,16,0,0
5938,139104,56,42,grocery,GB,1,0,in-store,1,13,afternoon,11.57,0.062,4,50.0,7,0,0
27034,998817,39,1,fashion,Other,1,0,mobile,0,13,afternoon,60.05,0.291,2,644.28,7,1,0
29272,114332,34,15,fashion,FR,1,0,in-store,1,16,afternoon,3.47,0.165,5,4752.17,9,0,0
21881,735843,18,2,grocery,PK,0,0,mobile,0,9,morning,11.94,0.15,6,2569.08,1,0,0
6509,513532,58,10,entertainment,US,1,0,online,0,16,afternoon,17.12,0.131,3,5204.94,0,0,0
21458,625587,29,4,restaurants,US,1,0,mobile,0,20,evening,4.18,0.317,4,3465.63,18,0,0
20072,766142,36,76,fashion,BD,1,1,online,0,5,night,6.49,0.338,9,3643.8,5,0,1
27013,873358,25,5,fashion,US,1,0,in-store,1,21,evening,9.21,0.116,9,2283.53,15,0,0
10093,696649,29,11,electronics,US,1,0,in-store,1,0,night,19.42,0.224,10,2628.11,4,0,0
22568,811782,52,5,utilities,IN,1,0,in-store,1,20,evening,18.89,0.118,10,4429.1,6,0,0
12977,616031,35,19,services,PK,0,0,mobile,0,12,afternoon,40.54,0.092,4,1920.95,34,0,0
3814,177175,18,23,entertainment,US,1,0,in-store,1,11,morning,76.36,0.154,8,5553.07,2,0,0
7338,522217,54,24,utilities,NG,1,1,mobile,0,16,afternoon,23.37,0.165,2,3053.26,15,0,0
24484,275225,35,17,fashion,PK,0,0,online,0,2,night,12.51,0.129,4,4646.61,10,0,0
19593,722992,38,11,pharmacy,IN,1,0,online,0,1,night,17.58,0.195,9,3578.53,0,0,0
5122,539030,29,20,grocery,PK,0,0,in-store,1,8,morning,24.91,0.294,6,2980.02,6,0,0
14906,400572,33,45,utilities,DE,1,0,in-store,1,19,evening,11.15,0.213,7,3809.81,8,0,0
8224,726360,38,11,services,US,1,0,in-store,1,20,evening,64.98,0.043,9,3869.42,12,0,0
2869,743235,25,6,utilities,BD,1,1,online,0,4,night,5.28,0.123,4,3372.23,2,0,1
2343,488076,18,27,electronics,NG,1,1,mobile,0,9,morning,70.05,0.167,2,1157.12,9,0,0
8833,547746,36,15,pharmacy,DE,1,0,mobile,0,18,evening,55.88,0.048,4,4531.54,9,0,0
7933,660849,59,16,fashion,PK,0,0,online,0,1,night,2.37,0.307,8,3950.79,6,0,0
16558,455884,28,30,others,PK,0,0,in-store,1,11,morning,15.55,0.503,3,5553.81,17,0,0
20605,621410,48,22,services,PK,0,0,in-store,1,15,afternoon,6.89,0.076,5,50.0,9,0,0
12984,507962,25,11,grocery,GB,1,0,online,0,23,evening,8.34,0.115,7,2154.7,15,0,0
3015,548532,24,29,restaurants,ES,1,0,in-store,1,13,afternoon,7.21,0.386,6,5291.26,3,0,0
27332,838592,37,22,pharmacy,Other,1,0,mobile,0,1,night,51.09,0.083,4,2671.69,19,0,0
12125,358490,34,3,utilities,GB,1,0,mobile,0,13,afternoon,16.98,0.0,2,3434.27,4,0,0
3753,435098,41,65,travel,PK,0,0,mobile,0,16,afternoon,24.62,0.006,3,530.93,11,0,0
27388,768130,24,6,fashion,FR,1,0,in-store,1,22,evening,5.56,0.077,6,4568.0,2,0,0
12336,546476,30,1,services,US,1,0,online,0,8,morning,8.29,0.088,1,4375.06,6,1,0
11545,509898,18,8,utilities,PK,0,0,in-store,1,17,afternoon,5.47,0.095,3,2509.58,1,0,0
11357,579969,46,49,electronics,US,1,0,online,0,12,afternoon,52.38,0.165,8,3880.86,2,0,0
2677,117633,22,5,travel,US,1,0,in-store,1,1,night,47.81,0.161,7,2445.03,9,0,0
28739,659139,32,8,electronics,DE,1,0,online,0,15,afternoon,15.21,0.398,5,2835.79,44,0,0
29996,676981,25,38,electronics,Other,1,0,in-store,1,19,evening,35.71,0.389,4,1928.48,1,0,0
20748,202548,48,83,grocery,PK,0,0,in-store,1,15,afternoon,3.61,0.014,9,4997.9,6,0,0
13376,892214,31,22,electronics,IN,1,0,online,0,5,night,153.04,0.054,5,979.88,9,0,0
17987,116375,32,46,services,GB,1,0,in-store,1,13,afternoon,277.4,0.036,6,2697.54,36,0,0
7886,434977,18,0,fashion,PK,0,0,in-store,1,23,evening,27.37,0.0,2,1476.25,17,1,0
13333,697679,37,2,services,PK,0,0,mobile,0,11,morning,6.74,0.085,9,1514.39,2,0,0
9586,138090,37,32,utilities,PK,0,0,in-store,1,4,night,60.15,0.024,3,1851.23,17,0,0
6333,113233,28,11,pharmacy,IN,1,0,mobile,0,16,afternoon,14.62,0.073,5,2134.75,18,0,0
24430,370248,34,3,grocery,BD,1,1,in-store,1,2,night,13.87,0.262,4,1812.63,12,0,0
18080,924965,40,2,services,Other,1,0,in-store,1,9,morning,30.15,0.171,6,2806.19,17,0,0
5202,670508,47,54,electronics,IN,1,0,in-store,1,15,afternoon,204.26,0.199,2,1725.49,10,0,0
748,313945,39,17,restaurants,IN,1,0,online,0,14,afternoon,7.9,0.095,5,4231.68,12,0,0
9761,782387,45,15,grocery,PK,0,0,mobile,0,12,afternoon,4.36,0.168,1,4022.43,4,0,0
29613,351197,60,12,entertainment,CN,1,1,in-store,1,21,evening,8.41,0.094,6,897.95,6,0,0
19993,329489,29,10,utilities,PK,0,0,online,0,17,afternoon,14.9,0.211,3,2471.01,11,0,0
23190,316936,28,16,others,Other,1,0,online,0,14,afternoon,12.35,0.0,7,2664.0,2,0,0
25536,698598,40,20,pharmacy,ES,1,0,online,0,6,morning,18.97,0.175,4,1526.32,3,0,0
17964,461995,42,24,grocery,Other,1,0,online,0,5,night,41.88,0.289,7,2162.92,0,0,0
25247,616857,22,5,entertainment,Other,1,0,online,0,11,morning,70.29,0.0,3,3363.74,39,0,0
5082,513089,25,36,utilities,PK,0,0,in-store,1,19,evening,91.96,0.207,8,1933.58,3,0,0
9351,956566,21,18,services,AE,1,0,online,0,18,evening,15.94,0.215,7,1860.91,5,0,0
10983,239861,32,10,grocery,FR,1,0,online,0,8,morning,6.19,0.11,3,50.0,5,0,0
23622,869806,22,25,fashion,Other,1,0,online,0,1,night,21.8,0.17,5,1192.6,20,0,0
13236,399907,31,2,electronics,BD,1,1,in-store,1,12,afternoon,12.28,0.056,5,2980.27,14,0,0
19368,242957,44,16,restaurants,ES,1,0,in-store,1,5,night,15.1,0.071,4,1616.13,6,0,0
1191,932946,54,20,grocery,PK,0,0,mobile,0,7,morning,26.98,0.117,8,2813.26,4,0,0
822,604492,46,27,utilities,ES,1,0,online,0,22,evening,9.43,0.133,5,1547.67,33,0,0
15879,179599,34,9,services,NG,1,1,online,0,18,evening,115.64,0.307,4,1060.46,8,0,1
20498,563328,20,8,grocery,ES,1,0,mobile,0,16,afternoon,7.8,0.113,7,1791.42,8,0,0
9420,723756,21,14,entertainment,PK,0,0,online,0,12,afternoon,9.86,0.346,5,2339.61,0,0,0
28101,458316,36,12,restaurants,PK,0,0,online,0,8,morning,14.73,0.034,4,1376.34,4,0,0
8893,139148,51,4,travel,PK,0,0,in-store,1,11,morning,12.56,0.202,5,3667.37,8,0,0
4462,859710,33,0,utilities,ES,1,0,online,0,12,afternoon,5.27,0.404,2,2328.8,4,1,0
25230,334162,21,9,travel,US,1,0,online,0,18,evening,43.46,0.05,2,4614.49,0,0,0
29986,626327,40,23,grocery,FR,1,0,in-store,1,22,evening,5.73,0.26,5,1566.33,0,0,0
12607,710108,44,15,fashion,PK,0,0,mobile,0,16,afternoon,11.97,0.407,7,6670.32,0,0,0
25979,685072,38,5,restaurants,AE,1,0,in-store,1,0,night,3.34,0.015,5,1977.13,32,0,0
19133,950340,49,0,electronics,ES,1,0,online,0,6,morning,6.19,0.251,3,2864.31,25,1,0
14741,107043,24,41,grocery,FR,1,0,online,0,8,morning,31.92,0.567,5,1585.85,1,0,0
12147,494411,18,19,restaurants,AE,1,0,online,0,9,morning,20.16,0.165,8,2766.27,8,0,0
2745,329189,37,18,utilities,PK,0,0,online,0,21,evening,16.29,0.214,5,4747.78,0,0,0
10115,531385,41,16,utilities,GB,1,0,in-store,1,11,morning,8.95,0.288,3,4218.49,9,0,0
2384,614933,54,34,travel,PK,0,0,mobile,0,5,night,197.71,0.354,6,1623.69,8,0,0
9154,897157,34,19,restaurants,GB,1,0,online,0,8,morning,20.63,0.386,3,3091.15,2,0,0
1407,278595,32,1,restaurants,PK,0,0,in-store,1,18,evening,10.85,0.287,3,3542.59,3,1,0
16561,900322,24,14,services,BD,1,1,in-store,1,19,evening,71.63,0.0,10,2449.08,57,0,0
19362,782358,45,11,utilities,PK,0,0,mobile,0,2,night,11.68,0.272,4,339.87,25,0,0
10343,551067,23,14,others,DE,1,0,mobile,0,2,night,147.85,0.05,3,2940.72,0,0,0
27757,107784,29,1,fashion,FR,1,0,in-store,1,3,night,14.05,0.287,3,2160.17,6,1,0
17615,246444,29,45,utilities,Other,1,0,online,0,7,morning,8.37,0.22,6,2624.71,0,0,0
19907,190141,19,2,travel,GB,1,0,in-store,1,5,night,12.62,0.203,6,2528.66,3,0,0
24531,941113,44,44,services,DE,1,0,online,0,23,evening,17.09,0.19,7,3319.05,7,0,0
27309,902717,30,36,travel,PK,0,0,in-store,1,17,afternoon,113.8,0.12,5,4059.33,3,0,0
17789,859129,22,6,travel,Other,1,0,online,0,6,morning,82.4,0.087,6,1749.02,1,0,0
13076,811475,37,7,grocery,PK,0,0,online,0,8,morning,40.02,0.131,4,4967.01,9,0,0
22090,886360,23,30,restaurants,BD,1,1,mobile,0,9,morning,14.9,0.031,5,1428.24,8,0,0
28574,956306,18,15,fashion,US,1,0,in-store,1,9,morning,46.92,0.296,6,3020.92,7,0,0
20569,789051,35,25,others,GB,1,0,mobile,0,23,evening,10.5,0.083,7,3483.33,8,0,0
17891,824689,25,9,utilities,BD,1,1,online,0,16,afternoon,15.8,0.055,4,2331.22,21,0,0
16838,487554,18,5,grocery,IN,1,0,mobile,0,15,afternoon,2.37,0.059,5,2642.89,1,0,0
6553,383028,33,28,fashion,PK,0,0,online,0,4,night,35.97,0.021,4,3156.75,1,0,0
19638,187073,34,41,others,US,1,0,online,0,19,evening,44.0,0.365,5,2084.45,2,0,0
18295,108981,36,36,electronics,IN,1,0,in-store,1,10,morning,10.7,0.061,7,2198.35,16,0,0
2877,738387,31,9,grocery,PK,0,0,online,0,11,morning,1.38,0.166,9,2402.89,0,0,0
2983,737420,44,18,grocery,PK,0,0,online,0,11,morning,9.04,0.03,6,2602.57,20,0,0
17411,814152,47,12,grocery,US,1,0,online,0,7,morning,15.0,0.011,5,4892.04,2,0,0
15163,103060,42,84,grocery,Other,1,0,mobile,0,4,night,111.5,0.026,7,6343.82,16,0,0
2154,935700,58,4,electronics,DE,1,0,mobile,0,23,evening,249.17,0.325,5,4178.11,7,0,0
18701,759436,52,61,travel,CN,1,1,in-store,1,6,morning,47.89,0.301,4,2014.87,56,0,0
7668,909269,28,0,travel,BD,1,1,online,0,13,afternoon,30.63,0.321,7,3672.5,1,1,1
15244,645734,40,16,restaurants,GB,1,0,online,0,3,night,9.37,0.344,5,3915.25,20,0,0
16858,122007,27,33,fashion,IN,1,0,in-store,1,16,afternoon,15.05,0.0,6,4377.12,2,0,0
13962,219107,40,40,grocery,Other,1,0,online,0,9,morning,19.75,0.121,9,2364.17,4,0,0
218,679304,45,39,electronics,BD,1,1,online,0,17,afternoon,35.09,0.029,3,3770.22,27,0,0
23288,797499,50,8,fashion,DE,1,0,online,0,15,afternoon,334.6687615504611,0.335,5,2740.35,2,0,0
2214,438041,18,38,electronics,US,1,0,in-store,1,7,morning,30.94,0.149,6,1934.82,0,0,0
6581,808092,36,42,services,US,1,0,online,0,8,morning,103.64,0.036,9,3636.49,1,0,0
27603,187393,38,17,utilities,PK,0,0,online,0,10,morning,4.5,0.174,5,3980.56,13,0,0
19377,192313,59,4,travel,ES,1,0,in-store,1,19,evening,38.54,0.175,4,2579.07,15,0,0
7540,165524,43,91,services,IN,1,0,online,0,23,evening,100.07,0.141,6,4212.79,31,0,0
14977,827773,18,38,restaurants,IN,1,0,online,0,23,evening,79.6,0.282,5,4594.61,5,0,0
10129,270534,52,37,entertainment,US,1,0,in-store,1,1,night,26.68,0.083,4,400.84,3,0,0
5706,756030,30,17,travel,GB,1,0,online,0,10,morning,52.76,0.344,5,724.99,7,0,0
5954,374336,37,33,utilities,DE,1,0,online,0,17,afternoon,17.15,0.045,5,4362.36,8,0,0
539,844840,27,27,restaurants,CN,1,1,in-store,1,20,evening,11.21,0.243,4,5121.11,0,0,0
21664,202420,20,4,travel,BD,1,1,in-store,1,8,morning,50.38,0.145,7,3185.43,4,0,0
21568,551392,33,9,travel,GB,1,0,online,0,19,evening,51.37,0.0,4,3598.73,47,0,0
28983,333886,27,18,restaurants,TR,1,1,online,0,14,afternoon,77.72,0.173,3,3841.22,3,0,1
7428,257195,38,20,utilities,IN,1,0,mobile,0,16,afternoon,101.95,0.084,8,879.56,7,0,0
20726,464811,31,45,utilities,FR,1,0,mobile,0,0,night,28.53,0.232,10,4070.47,1,0,0
4182,267647,18,85,pharmacy,PK,0,0,in-store,1,9,morning,1.82,0.153,1,4200.16,27,0,0
18702,526141,39,12,restaurants,FR,1,0,in-store,1,19,evening,14.69,0.521,5,484.13,8,0,0
15415,725494,37,29,electronics,PK,0,0,online,0,23,evening,83.02,0.201,6,50.0,47,0,0
12155,607730,24,3,travel,GB,1,0,in-store,1,19,evening,117.23,0.004,6,1900.89,0,0,0
580,326507,29,0,entertainment,GB,1,0,online,0,1,night,15.37,0.355,6,2510.09,4,1,0
2169,993093,38,4,pharmacy,BD,1,1,in-store,1,4,night,8.44,0.0,3,4400.74,28,0,0
24420,474458,38,11,restaurants,ES,1,0,online,0,12,afternoon,70.69,0.191,3,1343.97,11,0,0
251,325281,33,42,utilities,IN,1,0,online,0,7,morning,5.61,0.178,6,4996.89,13,0,0
15693,136282,31,22,grocery,PK,0,0,mobile,0,14,afternoon,38.09,0.205,1,3608.68,32,0,0
9972,246115,28,1,travel,DE,1,0,online,0,4,night,109.39,0.089,2,2490.34,1,1,0
16181,329685,38,35,restaurants,IN,1,0,in-store,1,23,evening,12.91,0.4,4,3478.51,0,0,0
11490,789692,18,10,services,US,1,0,in-store,1,3,night,67.72,0.273,6,3080.35,14,0,0
9145,536442,29,10,travel,FR,1,0,online,0,17,afternoon,42.29,0.106,3,1181.99,6,0,0
29433,700898,45,3,entertainment,PK,0,0,online,0,15,afternoon,12.61,0.449,5,4088.52,5,0,0
25791,613888,33,2,restaurants,IN,1,0,online,0,7,morning,49.5,0.36,6,4006.12,1,0,0
5772,498102,33,12,travel,Other,1,0,mobile,0,10,morning,54.37,0.079,4,3344.5,5,0,0
26747,251015,33,6,grocery,PK,0,0,in-store,1,15,afternoon,14.54,0.368,4,2611.02,27,0,0
2326,349474,25,7,utilities,IN,1,0,online,0,9,morning,8.69,0.27,8,2904.45,45,0,0
15431,316741,32,0,restaurants,FR,1,0,mobile,0,11,morning,9.6,0.034,2,1492.94,3,1,0
431,368246,36,26,electronics,US,1,0,in-store,1,0,night,15.51,0.146,6,3561.65,42,0,0
10769,609698,46,4,fashion,IN,1,0,mobile,0,8,morning,15.76,0.206,7,4365.92,0,0,0
2533,764468,30,0,fashion,CN,1,1,online,0,19,evening,4.72,0.0,6,5155.49,0,1,1
2458,600726,23,17,fashion,IN,1,0,in-store,1,1,night,38.3,0.103,7,2778.7,7,0,0
19187,508873,35,11,pharmacy,PK,0,0,in-store,1,4,night,8.83,0.151,5,2483.32,11,0,0
27236,427460,37,7,pharmacy,BD,1,1,in-store,1,14,afternoon,7.6,0.466,1,4584.88,20,0,0
22292,386102,33,83,electronics,BD,1,1,online,0,7,morning,25.65,0.312,5,2658.27,0,0,0
11213,650730,23,64,restaurants,BD,1,1,online,0,18,evening,14.86,0.267,7,3324.25,11,0,0
506,213632,35,0,electronics,TR,1,1,online,0,3,night,35.35,0.015,3,3773.62,11,1,1
23113,704831,36,95,grocery,PK,0,0,mobile,0,6,morning,25.41,0.235,5,4556.67,8,0,0
18780,555899,29,57,utilities,NG,1,1,in-store,1,23,evening,5.67,0.513,3,4417.91,2,0,0
19083,632451,45,2,entertainment,IN,1,0,online,0,23,evening,14.53,0.29,7,2259.68,20,0,0
17895,116040,49,28,fashion,Other,1,0,in-store,1,16,afternoon,22.26,0.07,5,3343.88,7,0,0
19007,620410,31,43,travel,AE,1,0,mobile,0,17,afternoon,189.06,0.149,7,2502.99,1,0,0
19691,744034,38,10,restaurants,IN,1,0,online,0,22,evening,28.4,0.554,6,1653.43,16,0,0
27094,143086,28,8,electronics,PK,0,0,in-store,1,14,afternoon,108.54,0.123,8,3978.23,8,0,0
23180,750840,40,12,restaurants,PK,0,0,in-store,1,23,evening,19.18,0.087,8,2091.14,6,0,0
12627,148458,26,58,fashion,IN,1,0,online,0,10,morning,15.52,0.265,4,457.05,0,0,0
3835,957342,20,28,grocery,PK,0,0,online,0,4,night,13.96,0.117,4,3151.41,3,0,0
1331,343322,30,3,fashion,NG,1,1,online,0,9,morning,7.51,0.423,10,2886.79,1,0,0
21467,418442,27,122,services,FR,1,0,in-store,1,23,evening,44.31,0.142,3,2049.49,3,0,0
23829,640203,39,5,entertainment,PK,0,0,in-store,1,16,afternoon,16.79,0.181,6,1974.02,11,0,0
2542,179973,35,24,electronics,US,1,0,in-store,1,4,night,100.83,0.304,5,4772.19,0,0,0
28613,963669,51,43,restaurants,US,1,0,in-store,1,17,afternoon,10.45,0.275,1,602.94,41,0,0
21996,430019,45,151,fashion,US,1,0,online,0,20,evening,67.62,0.179,3,1999.56,15,0,0
11900,991907,22,33,restaurants,AE,1,0,online,0,13,afternoon,60.76,0.176,8,5388.21,2,0,0
25873,985591,21,23,electronics,BD,1,1,mobile,0,7,morning,36.17,0.329,8,1332.18,19,0,0
26226,814814,33,35,others,FR,1,0,mobile,0,8,morning,92.81,0.188,1,1080.69,14,0,0
15806,958547,54,22,grocery,US,1,0,in-store,1,12,afternoon,5.93,0.166,3,2688.36,6,0,0
9556,165030,42,2,pharmacy,Other,1,0,in-store,1,2,night,6.15,0.066,8,995.98,9,0,0
7568,325413,36,44,restaurants,Other,1,0,in-store,1,23,evening,131.57,0.08,8,2087.04,3,0,0
3508,623375,22,16,fashion,IN,1,0,in-store,1,17,afternoon,15.61,0.414,8,1744.5,7,0,0
8835,684570,36,33,services,PK,0,0,in-store,1,23,evening,115.0,0.151,4,2523.36,2,0,0
18785,241868,38,3,electronics,US,1,0,in-store,1,23,evening,21.31,0.217,5,1882.24,11,0,0
29858,993148,35,35,electronics,AE,1,0,online,0,17,afternoon,18.47,0.066,8,2707.26,30,0,0
23588,354268,37,3,others,Other,1,0,in-store,1,2,night,30.89,0.134,5,2685.57,18,0,0
28268,973523,40,14,fashion,AE,1,0,online,0,16,afternoon,54.86,0.257,8,1148.44,31,0,0
