age,income,balance,transactions,loan,credit_score,products,tenure_years,is_active,churn
56,178772,77509,219,0,305,1,18,0,1
69,23567,80558,212,0,576,4,3,0,0
46,193908,47466,74,1,303,2,13,0,1
32,46627,44937,163,0,502,1,1,0,0
60,189640,19459,230,1,576,2,16,0,1
25,171832,40076,239,1,404,4,17,0,1
38,181057,5080,90,0,386,4,16,0,1
56,99944,31813,112,0,524,4,6,0,0
36,115368,15168,129,0,632,2,18,0,0
40,60785,78097,100,0,689,4,17,0,0
28,186655,94581,26,0,406,2,11,1,0
28,184810,26892,17,0,492,1,6,1,0
41,44204,-2035,204,0,843,4,6,1,0
53,36643,27438,209,1,527,2,2,0,1
57,90561,3493,10,0,526,1,8,1,0
41,57126,62880,3,1,656,3,15,0,1
20,78126,40828,102,0,720,3,18,1,0
39,102424,98467,204,0,711,2,2,0,0
19,144453,80135,82,1,776,2,16,1,0
41,65258,22891,42,0,310,4,5,0,1
61,54527,35955,251,1,799,4,6,0,1
47,43898,11445,38,1,303,3,11,0,1
55,197507,28625,152,0,487,3,15,1,0
19,23794,85649,242,0,655,1,12,1,0
38,165770,78260,83,0,355,2,3,1,0
50,163404,91068,54,1,711,1,3,0,1
29,29593,20393,92,1,708,1,10,0,1
39,78132,57844,107,0,452,3,2,1,0
61,140973,22683,219,0,706,1,6,1,0
42,121633,16399,36,0,657,1,7,0,0
66,31036,77894,233,0,725,3,3,0,0
44,114097,97941,121,0,674,3,4,0,0
59,73164,15036,74,0,700,4,5,0,0
45,170423,78631,207,0,573,2,14,0,0
33,78413,44941,72,1,363,1,4,1,0
32,38059,21656,90,0,347,3,16,0,1
64,47188,28348,293,0,345,3,9,0,1
68,118591,21617,299,0,722,2,2,1,0
61,101795,36311,234,0,387,3,15,0,1
69,31829,95606,213,0,825,1,6,1,0
20,93673,94377,67,0,567,4,9,0,0
54,44502,26766,223,0,436,3,3,0,1
68,178276,68097,215,1,563,3,6,0,1
24,21265,90907,165,0,807,3,2,1,0
38,186823,91948,60,0,565,1,13,0,0
26,175387,13266,283,1,624,2,2,1,0
56,67457,-655,69,0,641,2,12,0,1
35,66875,12644,30,1,577,1,13,1,0
21,80359,67583,184,1,629,4,8,0,1
42,126334,60767,126,1,554,2,8,1,0
31,142950,42531,137,0,793,4,10,0,0
67,194492,69684,139,0,534,3,11,0,0
26,184451,32497,262,1,761,4,10,1,0
43,84102,39889,87,0,537,2,2,0,0
19,121827,14920,155,0,636,4,11,0,0
37,112688,49271,275,0,367,4,6,1,0
45,79469,64850,119,0,821,4,17,1,0
64,115789,85808,163,1,662,1,11,0,1
24,185468,77226,137,0,560,4,1,1,0
61,33176,52657,230,0,416,4,8,1,0
25,85036,-1526,299,1,328,1,3,0,1
64,27907,82768,201,1,474,1,2,0,1
52,23372,19039,89,1,444,2,8,0,1
31,178644,9104,232,0,552,3,5,1,0
34,44592,12786,73,1,844,2,6,0,1
53,164174,81296,288,0,355,4,4,0,1
67,128093,41716,164,0,680,4,2,1,0
