ID,Age,Income,LoanAmount,CreditScore,EmploymentYears,Dependents,Married,OwnHouse,DefaultedBefore,Date,Approved
1,56,83026,43138,697,36,4,0,0,1,2015-01-01,0
2,69,98504,4365,391,8,2,1,1,0,2015-01-02,0
3,46,128388,46416,563,5,1,0,0,0,2015-01-03,0
4,32,33280,41884,590,27,4,0,0,0,2015-01-04,0
5,60,149892,32427,622,6,0,0,1,1,2015-01-05,0
6,25,22754,19966,699,18,2,1,1,0,2015-01-06,0
7,38,103392,38559,616,27,2,0,1,0,2015-01-07,0
8,56,70258,19126,592,26,3,0,1,1,2015-01-08,0
9,36,63386,1734,410,15,0,1,0,1,2015-01-09,0
10,40,51365,45119,801,26,4,0,0,0,2015-01-10,0
11,28,101353,24498,439,17,3,0,0,0,2015-01-11,0
12,28,49604,1052,449,0,3,0,0,0,2015-01-12,0
13,41,21803,15018,415,8,0,1,0,0,2015-01-13,0
14,53,144907,30074,431,12,4,1,1,1,2015-01-14,0
15,57,28272,37764,577,17,1,1,1,1,2015-01-15,0
16,41,116986,38736,549,15,1,1,0,1,2015-01-16,0
17,20,141345,33276,807,19,0,1,0,0,2015-01-17,0
18,39,101204,12061,406,31,0,0,0,0,2015-01-18,0
19,19,145848,14555,763,33,1,1,1,0,2015-01-19,1
20,41,125210,38501,791,33,4,0,0,1,2015-01-20,0
21,61,47117,9904,654,0,2,1,0,1,2015-01-21,1
22,47,107275,46107,546,34,4,1,0,1,2015-01-22,0
23,55,64699,30938,600,0,3,1,0,1,2015-01-23,0
24,19,88524,7127,614,12,1,1,1,0,2015-01-24,1
25,38,27204,46457,437,27,3,0,0,0,2015-01-25,0
26,50,98564,39610,334,7,1,0,1,0,2015-01-26,0
27,29,140464,33400,734,2,0,1,0,1,2015-01-27,0
28,39,94052,29203,438,2,2,0,0,0,2015-01-28,0
29,61,82519,26194,769,1,4,1,0,0,2015-01-29,1
30,42,51864,30335,757,32,2,1,0,0,2015-01-30,0
31,66,120665,8280,633,33,4,0,0,1,2015-01-31,1
32,44,70386,48326,489,26,2,1,0,0,2015-02-01,0
33,59,118051,11209,528,18,3,1,0,1,2015-02-02,0
34,45,36486,21653,756,6,3,0,1,0,2015-02-03,0
35,33,34774,7328,584,33,3,0,1,0,2015-02-04,0
36,32,123216,5491,326,32,2,1,0,1,2015-02-05,0
37,64,86282,11552,471,33,1,0,1,0,2015-02-06,0
38,68,34373,9100,769,33,1,1,1,0,2015-02-07,0
39,61,57676,16430,571,16,1,0,0,1,2015-02-08,0
40,69,23691,38573,562,6,3,1,1,0,2015-02-09,0
41,20,64445,29173,304,37,1,1,0,0,2015-02-10,0
42,54,45823,43516,555,29,4,0,1,1,2015-02-11,0
43,68,121368,21941,562,36,0,0,1,1,2015-02-12,0
44,24,74564,30543,317,27,4,0,1,1,2015-02-13,0
45,38,87255,46919,696,23,0,1,0,1,2015-02-14,0
46,26,71354,37569,632,17,3,0,0,1,2015-02-15,0
47,56,107071,7526,476,20,1,0,0,1,2015-02-16,0
48,35,113417,33596,571,4,1,1,0,0,2015-02-17,0
49,21,26026,37271,638,35,2,1,0,0,2015-02-18,0
50,42,63496,41440,579,15,1,0,1,1,2015-02-19,0
51,31,34073,27606,608,12,1,1,0,0,2015-02-20,0
52,67,126041,39327,774,32,4,0,0,1,2015-02-21,0
53,26,41836,28302,819,39,4,1,1,1,2015-02-22,1
54,43,85186,24140,333,12,0,1,0,1,2015-02-23,0
55,19,27184,36247,806,4,2,1,1,0,2015-02-24,0
56,37,80829,39555,747,27,1,1,0,1,2015-02-25,0
57,45,21789,12029,475,8,3,0,1,1,2015-02-26,0
58,64,50353,11230,645,26,1,1,1,0,2015-02-27,1
59,24,46340,16814,724,17,2,1,0,1,2015-02-28,1
60,61,67343,10963,829,14,1,1,0,1,2015-03-01,1
61,25,47933,33383,543,19,0,1,0,0,2015-03-02,0
62,64,116601,30023,555,1,0,0,0,1,2015-03-03,0
63,52,33686,15458,328,9,0,0,0,1,2015-03-04,0
64,31,99887,34468,591,13,4,1,1,0,2015-03-05,0
65,34,49258,7991,326,15,4,1,1,1,2015-03-06,0
66,53,145877,45323,403,19,3,0,1,0,2015-03-07,0
67,67,53027,10153,562,39,3,1,1,1,2015-03-08,0
68,57,38302,21816,801,7,0,0,1,1,2015-03-09,0
69,21,141192,21272,477,16,0,1,1,0,2015-03-10,0
70,19,107438,28394,453,28,3,1,1,0,2015-03-11,0
71,23,75755,23806,410,25,1,0,1,0,2015-03-12,0
72,59,67002,30540,563,32,3,1,1,1,2015-03-13,0
73,21,110095,47747,544,2,3,1,1,0,2015-03-14,0
74,46,133570,37972,720,6,3,0,1,0,2015-03-15,0
75,35,46362,35664,712,11,3,1,1,0,2015-03-16,0
76,43,27252,44847,480,19,4,0,0,1,2015-03-17,0
77,61,141918,29192,328,9,0,1,1,1,2015-03-18,0
78,51,85635,2149,676,38,0,0,0,0,2015-03-19,1
79,27,89441,32299,592,27,3,1,0,0,2015-03-20,0
80,53,35090,4828,315,16,0,0,0,1,2015-03-21,0
81,31,55110,40238,814,37,3,1,1,0,2015-03-22,0
82,48,93627,22770,784,14,2,0,0,0,2015-03-23,1
83,65,72385,25039,578,7,2,0,0,0,2015-03-24,0
84,32,25024,7791,567,18,1,0,1,1,2015-03-25,0
85,25,31441,4347,332,19,3,1,1,0,2015-03-26,0
86,31,132059,46117,697,18,1,1,0,0,2015-03-27,0
87,40,102247,29262,771,19,1,0,1,1,2015-03-28,1
88,57,62311,28739,501,15,4,1,0,0,2015-03-29,0
89,38,47387,4146,599,39,3,1,0,1,2015-03-30,0
90,33,148041,45657,450,37,0,0,1,0,2015-03-31,0
91,62,87825,21600,627,8,2,1,0,0,2015-04-01,1
92,35,136053,29373,524,21,0,0,0,0,2015-04-02,0
93,64,96890,25574,433,14,0,0,1,0,2015-04-03,0
94,41,31291,7281,472,27,3,0,1,0,2015-04-04,0
95,43,147434,39055,440,3,3,1,0,1,2015-04-05,0
96,42,51386,40427,389,13,1,0,0,0,2015-04-06,0
97,62,113814,36016,412,24,4,1,1,1,2015-04-07,0
98,58,136096,3149,398,37,0,1,1,0,2015-04-08,0
99,46,29702,20440,369,36,0,1,0,1,2015-04-09,0
100,32,118523,15354,658,8,1,0,0,1,2015-04-10,1
101,62,115066,14733,586,17,2,1,1,1,2015-04-11,0
102,18,124711,33277,718,27,1,0,0,1,2015-04-12,0
103,42,63128,16718,318,28,3,0,1,0,2015-04-13,0
104,24,100941,11880,815,36,3,1,0,1,2015-04-14,1
105,26,131895,46936,817,29,2,1,1,1,2015-04-15,0
106,41,47762,3196,804,39,4,0,0,1,2015-04-16,1
107,18,23239,12654,808,29,1,0,1,0,2015-04-17,0
108,61,81874,18133,661,27,4,1,1,1,2015-04-18,1
109,25,135957,34814,368,37,1,0,1,0,2015-04-19,0
110,41,83971,35747,482,17,1,0,1,0,2015-04-20,0
111,28,125846,12221,471,30,1,0,0,1,2015-04-21,0
112,68,32567,23617,650,32,3,1,1,1,2015-04-22,0
113,34,105737,4601,802,4,4,0,0,1,2015-04-23,1
114,25,141877,32302,650,17,3,0,0,1,2015-04-24,0
115,52,26857,11292,420,33,0,1,0,0,2015-04-25,0
116,52,85603,13690,405,6,4,1,1,0,2015-04-26,0
117,50,95399,5799,841,21,0,1,0,0,2015-04-27,1
118,22,78086,21621,483,5,0,1,1,1,2015-04-28,0
119,59,109145,18432,567,35,1,0,1,1,2015-04-29,0
120,56,52270,36503,593,11,0,0,0,0,2015-04-30,0
121,58,140071,35169,447,30,2,0,0,1,2015-05-01,0
122,45,22012,31063,572,35,4,1,0,0,2015-05-02,0
123,24,79049,8379,536,28,3,0,1,0,2015-05-03,0
124,26,111558,16211,809,16,3,0,1,0,2015-05-04,1
125,25,104989,26732,690,16,3,1,0,0,2015-05-05,1
126,29,109586,41560,819,7,3,1,0,1,2015-05-06,0
