job_role,education_level,experience_years,skills,certifications,salary_range,location,target
Research Scientist,Masters,6,"Security, Excel",Yes,High,Germany,1
Data Scientist,Bootcamp,14,"JS, Cloud, Networking, Security",No,High,UK,0
Research Scientist,PhD,7,"SQL, CSS",Yes,Medium,UK,1
Database Admin,Bachelors,4,"R, Python, JS, ML",Yes,Medium,India,1
Database Admin,Masters,9,"DL, Python, JS, ML",No,High,USA,1
Cybersecurity Analyst,Bootcamp,6,"SQL, Security, Networking, R",Yes,High,UK,1
Research Scientist,Masters,10,"Security, Python",Yes,Low,Canada,1
Web Developer,Bootcamp,3,"Excel, HTML, CSS, Cloud",No,Medium,India,0
DevOps Engineer,PhD,5,"Excel, HTML",No,High,UK,1
AI Engineer,Masters,1,"Networking, ML, CSS",Yes,Medium,Germany,1
Research Scientist,Bootcamp,5,"HTML, Networking, Python",No,Low,India,0
DevOps Engineer,PhD,11,"SQL, Security",No,High,USA,1
Web Developer,Bachelors,0,"JS, HTML, Python",No,Low,USA,0
Data Scientist,Masters,5,"R, DL",Yes,Low,Germany,1
Research Scientist,PhD,11,"SQL, R",Yes,High,Remote,1
Database Admin,Bachelors,0,"Cloud, Python, DL, Excel",Yes,Low,Germany,1
Research Scientist,Bootcamp,10,"R, Cloud, Networking, CSS",No,Medium,Canada,0
Cloud Engineer,Masters,9,"SQL, Python, R, HTML",No,Low,Canada,1
Research Scientist,Masters,13,"Excel, Networking, HTML",Yes,Low,USA,1
DevOps Engineer,Masters,14,"Excel, Python, CSS",Yes,High,UK,1
DevOps Engineer,Masters,2,"R, Security, HTML, Networking",No,Medium,India,1
AI Engineer,Masters,3,"Cloud, Excel",Yes,Medium,Canada,1
Cloud Engineer,Bachelors,2,"JS, Cloud",Yes,Low,Canada,0
Database Admin,Bachelors,2,"Excel, Python, DL, R",Yes,Medium,USA,1
ML Engineer,Bootcamp,4,"ML, JS",No,High,Remote,0
Business Analyst,Bachelors,6,"Security, DL, Python",No,High,UK,1
Cloud Engineer,PhD,3,"JS, SQL",Yes,Low,UK,1
Cloud Engineer,Bootcamp,11,"JS, R, HTML",No,High,Canada,1
AI Engineer,Masters,1,"SQL, ML, Security",Yes,Medium,USA,1
AI Engineer,Bootcamp,8,"Security, DL, Networking",No,Medium,Canada,1
Cybersecurity Analyst,Bootcamp,4,"Security, JS, SQL",No,Low,Germany,0
DevOps Engineer,Bootcamp,3,"Excel, HTML, Security, JS",Yes,Medium,Canada,1
Data Scientist,Bootcamp,11,"Excel, HTML, SQL, DL",Yes,Medium,Remote,1
Cloud Engineer,Masters,11,"ML, Security",No,Medium,India,1
Web Developer,PhD,7,"Python, CSS, SQL, Cloud",Yes,Low,USA,1
Cybersecurity Analyst,Masters,2,"R, HTML, ML",Yes,Low,Germany,1
Cybersecurity Analyst,PhD,0,"Security, DL, R",No,High,USA,1
ML Engineer,Bootcamp,7,"Cloud, CSS, R",No,Low,Canada,0
Cybersecurity Analyst,Bachelors,13,"SQL, DL, JS",Yes,High,Remote,1
Database Admin,Bachelors,5,"Security, Python, ML",Yes,Low,USA,1
Research Scientist,Bootcamp,3,"Cloud, DL, Python",Yes,Low,Germany,1
Web Developer,PhD,12,"ML, Python, DL, R",No,High,UK,1
ML Engineer,Bachelors,1,"Networking, ML, HTML",No,Medium,India,0
Research Scientist,Bootcamp,11,"Python, HTML, Excel",No,Medium,Canada,1
Business Analyst,Bachelors,9,"CSS, ML, Networking",Yes,High,USA,1
Web Developer,Bachelors,3,"DL, Cloud, SQL",Yes,Low,USA,1
Data Scientist,Bachelors,14,"ML, HTML, Python, Cloud",Yes,Medium,UK,1
Business Analyst,Masters,7,"Excel, DL, SQL",No,High,Remote,1
AI Engineer,Bachelors,6,"CSS, Cloud",No,Low,Remote,0
AI Engineer,Masters,13,"JS, Cloud",Yes,High,USA,1
Web Developer,Bachelors,12,"ML, DL, Cloud",Yes,Low,USA,1
Web Developer,Bootcamp,14,"Python, DL",Yes,Medium,UK,1
Cloud Engineer,Bootcamp,7,"Excel, ML, JS",Yes,High,UK,1
Web Developer,Masters,8,"DL, SQL",Yes,Low,Remote,1
Database Admin,Bachelors,8,"Networking, CSS",Yes,Medium,USA,1
Business Analyst,Bachelors,14,"Python, Security",Yes,Low,Remote,1
Database Admin,Bootcamp,0,"HTML, JS",No,Low,Germany,0
Cybersecurity Analyst,Bootcamp,6,"HTML, CSS",No,High,Canada,1
Cybersecurity Analyst,Masters,7,"HTML, Excel",Yes,Low,Remote,1
ML Engineer,Masters,11,"Python, HTML, JS, DL",Yes,Low,Remote,1
Database Admin,Masters,10,"ML, Security, Python, Cloud",Yes,Medium,USA,1
Business Analyst,PhD,0,"JS, ML, Security, HTML",No,Low,Remote,1
Research Scientist,Bachelors,2,"JS, Security",Yes,High,India,0
Web Developer,PhD,10,"Cloud, JS",Yes,Medium,USA,1
AI Engineer,Bootcamp,9,"Cloud, Excel, ML, Security",No,Low,UK,1
Business Analyst,Masters,9,"Python, ML",Yes,Low,UK,1
Cloud Engineer,Bootcamp,11,"SQL, JS, Networking, DL",No,High,Remote,1
Web Developer,Bachelors,8,"Excel, SQL, Security",No,Medium,Remote,0
Data Scientist,Bachelors,0,"DL, Cloud, Python, ML",Yes,Medium,USA,1
AI Engineer,Bootcamp,6,"HTML, Security, ML",No,Medium,USA,1
Data Scientist,Bachelors,7,"R, HTML",Yes,Medium,Germany,1
Research Scientist,Bachelors,2,"Security, Cloud, SQL",No,Low,India,0
Cybersecurity Analyst,Masters,10,"Python, JS, R, Excel",Yes,Medium,Canada,1
Data Scientist,Masters,0,"SQL, Python, ML, R",No,High,Canada,1
ML Engineer,Masters,4,"DL, Python, Cloud, HTML",Yes,Medium,Canada,1
Cybersecurity Analyst,Bootcamp,13,"Python, JS, ML, Networking",Yes,High,Germany,1
DevOps Engineer,PhD,0,"DL, Python",Yes,High,Remote,1
Cloud Engineer,Bootcamp,9,"CSS, Python, Excel, Networking",Yes,High,Remote,1
ML Engineer,Bootcamp,14,"CSS, ML, Security",Yes,Medium,USA,1
Research Scientist,Masters,6,"ML, HTML, R, JS",No,Medium,Germany,1
AI Engineer,Masters,8,"Security, Excel, Python, DL",Yes,Medium,UK,1
Database Admin,Bachelors,14,"Python, Cloud, Excel",Yes,High,Germany,1
AI Engineer,Bootcamp,9,"JS, Networking",Yes,High,Canada,1
DevOps Engineer,Bachelors,2,"HTML, JS, DL, Excel",Yes,Low,USA,1
AI Engineer,Bootcamp,6,"SQL, R",No,Medium,USA,0
Business Analyst,PhD,3,"ML, Security",No,Medium,UK,1
Cloud Engineer,Masters,3,"SQL, HTML, JS",No,High,Remote,1
Cloud Engineer,Masters,4,"DL, JS, Cloud, Networking",Yes,High,Remote,1
Web Developer,PhD,6,"DL, SQL",No,Medium,USA,1
