ID,Age,Income,LoanAmount,CreditScore,EmploymentYears,FamilySize,OwnsCar,OwnsPropertyBefore,OwnsHouse
1,58,131184,304571,464,16,1,0,0,1
2,48,61026,426180,345,27,8,1,1,1
3,34,176408,213059,803,22,4,1,0,1
4,62,140975,342869,698,37,8,1,0,1
5,27,25260,371781,670,24,4,1,1,1
6,40,164729,50916,547,13,3,1,1,1
7,58,143344,46197,454,30,4,1,0,1
8,38,122495,150302,631,12,2,1,1,1
9,42,180151,22910,352,17,4,0,0,1
10,30,172355,222916,494,17,7,1,1,1
11,30,21467,243078,594,10,6,1,0,0
12,43,157173,277501,441,5,4,1,0,0
13,55,153832,421123,795,4,8,1,0,1
14,59,124725,188122,770,6,6,0,0,1
15,43,163720,199880,533,34,9,1,1,1
16,22,54161,78372,827,0,6,0,1,1
17,41,130803,61557,670,13,9,1,0,1
18,21,107298,49665,690,13,8,0,0,1
19,43,38083,471728,838,5,2,0,1,1
20,63,168576,296166,331,18,1,1,0,1
21,49,189169,306960,731,8,3,0,0,1
22,57,70723,21520,790,23,4,0,1,1
23,21,199811,21999,693,37,2,1,1,1
24,40,132660,20391,701,10,8,0,1,1
25,52,162768,84274,777,29,7,1,0,1
26,31,125071,184689,798,12,7,0,0,1
27,41,107258,148951,327,29,8,0,0,1
28,63,115735,87500,681,2,3,0,0,1
29,44,82071,383003,763,36,7,0,1,1
30,68,114968,349049,833,7,7,1,0,1
31,46,74094,396845,671,30,6,0,1,1
32,61,62415,64369,747,15,6,1,0,1
33,47,108251,472428,682,13,8,1,0,1
34,35,47124,268926,724,20,6,1,1,1
35,34,43403,111209,722,15,2,1,1,1
36,66,22422,323021,784,20,6,0,1,1
37,63,149457,270550,373,33,2,1,0,1
38,22,125894,357974,452,0,9,1,0,0
39,56,164527,128969,705,30,9,0,1,1
40,26,179259,105317,447,16,4,0,1,1
41,40,198181,462384,816,33,8,0,0,1
42,28,95068,404880,634,18,1,0,1,1
43,58,164613,129562,649,34,7,0,1,1
44,37,166553,429757,685,21,1,1,0,1
45,23,62478,316682,530,15,9,0,1,1
46,44,58593,440274,686,9,4,0,1,1
47,33,92296,145019,599,14,9,1,0,1
48,69,193991,480748,633,30,5,1,0,1
49,28,61670,300907,335,35,3,0,1,1
50,45,40954,296666,720,28,9,1,1,1
51,21,53341,415740,377,33,6,1,1,1
52,39,47419,113295,706,33,3,0,0,1
53,47,69659,45371,736,3,7,1,1,1
54,66,153294,324054,378,31,3,0,1,1
55,26,76840,140896,745,32,7,1,0,1
56,63,177345,311219,626,22,7,1,1,1
57,27,86323,171029,357,11,2,1,1,1
58,66,113901,121037,844,2,9,0,1,1
59,54,122971,300108,801,17,1,0,1,1
60,33,136921,453845,476,1,5,0,0,0
61,36,45162,304582,631,8,5,1,1,1
62,55,96893,244088,478,15,8,1,0,1
63,69,65569,1573,357,21,2,1,0,0
64,59,137937,329280,451,28,3,0,0,1
65,23,47277,47794,680,13,9,0,1,1
66,21,124375,124384,520,30,4,1,0,1
67,25,105956,467797,419,25,8,0,0,1
68,61,77899,452990,471,29,9,1,1,1
69,23,32167,186518,609,28,1,1,0,1
70,48,65350,341374,562,28,9,1,0,0
71,37,166662,147214,560,33,5,1,1,1
72,45,47883,184683,780,20,4,1,1,1
73,63,195578,461134,632,5,6,0,0,1
74,53,34374,461086,784,15,7,0,0,1
75,29,44551,412571,400,27,3,1,1,1
76,55,114188,389442,504,8,8,1,0,1
77,33,140766,301481,746,5,4,0,1,1
78,50,168917,211608,457,29,9,0,0,1
79,67,107834,328480,753,8,2,1,1,1
80,34,26352,357984,622,31,2,1,0,1
81,27,120475,184726,614,27,4,0,1,1
82,33,131566,362843,766,24,8,0,0,1
83,42,77080,488244,614,27,6,1,1,1
84,59,28594,88207,349,15,1,0,0,0
85,40,28475,147876,495,12,5,0,1,1
86,35,149599,251268,802,10,4,1,0,1
87,64,108035,301290,732,24,3,0,0,1
88,37,115983,295562,738,9,9,1,1,1
89,66,188496,185099,436,21,4,1,1,1
90,43,95923,153876,548,10,1,1,1,1
91,45,22670,203153,567,11,3,0,1,1
92,44,79263,375437,391,22,3,1,0,0
93,64,55316,445728,536,32,6,0,1,1
94,60,38710,215700,673,24,6,0,0,1
95,48,190886,484761,574,14,1,0,0,1
96,34,120510,390616,819,36,5,1,1,1
97,64,25179,264679,317,33,5,1,1,1
98,20,45063,163736,837,29,5,1,1,1
99,44,78009,166946,342,35,1,1,1,1
100,26,91011,103486,709,18,9,0,0,1
101,28,160753,119921,788,18,8,1,1,1
102,43,92501,477556,313,39,6,1,1,1
103,20,53566,9078,434,7,6,1,0,0
104,63,137488,326780,644,16,2,0,0,1
105,27,178946,271507,497,25,7,0,0,1
106,43,187195,71998,483,9,7,0,0,1
107,30,105849,316008,661,7,4,0,0,1
108,36,196389,374901,306,26,4,0,0,1
109,27,81217,355070,523,11,6,0,0,1
110,54,44939,114174,787,23,7,0,0,1
111,54,198174,360690,723,34,9,1,1,1
