ID,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),spcies
1,4.556269946696245,3.353432740060873,1.466424446153468,-0.020575679113230466,setosa
2,7.776587715201308,4.034635599063691,6.631299810774146,2.33731233485197,virginica
3,5.947028392039459,3.022716225866549,4.091222617060094,1.0882497172350132,versicolor
4,6.063327075806709,2.8571262785980682,5.531497328607919,2.122365316448197,virginica
5,4.920147796397619,3.214896282208378,1.3828413703522293,-0.025002819547844946,setosa
6,5.019807476722102,3.7597315021093163,1.440477303324857,0.5019232230041797,setosa
7,5.3327398787701705,3.773024423652582,1.4047734262067642,0.20627733243613725,setosa
8,6.171658714047431,2.294203329203615,4.474119751614759,1.2143313760536358,versicolor
9,5.999641137749315,3.496970417517739,5.287306884605831,2.100292460340385,versicolor
10,5.305618958149338,3.167816091854084,4.349439653616826,1.225624505813267,versicolor
11,6.532895251478509,3.0163383865890427,5.199908907650958,2.621411585619652,virginica
12,6.522578930387524,2.7157448048486343,4.761529664423321,1.1750664812625682,versicolor
13,5.212446335882594,3.315916527901713,2.049205823599156,0.4947110654014115,setosa
14,6.189445664497554,2.2398676323817344,4.615553749713295,1.2678661258168507,versicolor
15,5.441511762738785,2.7630791845331197,3.9587999888905174,1.103953261690991,versicolor
16,5.4191914113414645,2.412958100200099,3.879521394744449,1.3841655488905347,versicolor
17,5.282823381223757,2.9808760867542983,1.5420199046688428,0.29591124490740806,setosa
18,7.085412789867506,2.708860814949879,4.784372954311109,1.8933517398969948,versicolor
19,6.339535070669318,2.1918360925539844,4.9285089845931465,1.3113005583628905,versicolor
20,4.39298508325027,3.1921835028865515,1.7739956397611196,0.06120024436816901,setosa
21,6.373474871718098,3.4739380415426946,5.642259625340477,2.1909755399660473,virginica
22,6.18573426180775,3.0953738155863646,5.2567099089504525,2.2669556965457587,virginica
23,5.784690419711008,2.42346149918561,3.3957395852070333,0.8641983873272334,versicolor
24,5.5178299457123305,2.8581740348883686,4.204859158096442,1.1949034742704066,versicolor
25,5.473047976318215,2.623655721801891,4.351725632007158,1.168430715728232,versicolor
26,4.687171172756183,3.346861555348488,1.5272216608559233,0.44715333337697616,setosa
27,6.579325015860494,3.2926012616936435,5.0658465483948865,1.6874639539507041,virginica
28,6.002898281317046,3.1821738538775923,5.219775857768162,2.175819456947631,virginica
29,5.610828915068652,2.445542393885344,4.956401143483793,1.8954115229852,virginica
30,5.373609197611643,3.9336132846112046,1.8086249886029637,0.30711025192919933,setosa
31,4.739189724209381,3.002037532532546,1.454241578409789,0.2577451231022829,setosa
32,5.879327977799588,3.0179464836350163,5.252851007470842,2.0438783487385477,virginica
33,5.117229452588889,4.132389873879734,1.2998146166712123,0.13141526410641308,setosa
34,5.72179619414869,3.19428926117062,1.2909277314241914,0.7796943087824308,setosa
35,5.970236671008526,2.9963339288733915,5.114673320096483,1.9421912046028584,virginica
36,5.270296434995336,3.522028107362463,1.433132006579408,0.22764569001611734,setosa
37,4.869250439587115,3.072499464565591,1.4955368723877853,0.45796119598675045,setosa
38,6.540375155785359,2.7074487274467613,5.438313412331764,1.9574481886513542,virginica
39,6.549905376670787,2.8670528271388096,5.556006030588957,2.137061450230234,virginica
40,5.373043544025419,2.25114796160036,3.9003908054144714,0.7770544292774882,versicolor
41,6.1404376308417,2.8127108755984684,4.770170506052386,1.187431008111862,virginica
42,4.3513687318077565,3.040922654062406,1.1935341994892261,0.04049056999313291,setosa
43,5.287895648297777,3.33409499112993,1.3381476173011935,0.47596390502046704,setosa
44,5.875348658976879,3.029555971738118,3.1986793412296732,1.0217274546327384,versicolor
45,6.32832450570381,2.6785507447747765,5.777411787631068,2.0583178619644427,virginica
46,7.453354886296203,2.8813185265531263,6.938277624073318,2.0379355169308213,virginica
47,4.566617970452638,2.9792320093281863,1.307878823526034,0.4455084875211088,setosa
48,5.340064971578057,3.3553873428404946,1.2300988733198281,0.40001922937122764,setosa
49,7.1074714475697345,3.497856100949299,5.65553632561868,2.396610607713348,virginica
