Age,Experience_Years,Education_Level,Department,Working_Hours_Per_Week,Remote_Work_Ratio,Training_Hours,Certifications,Gender,Region,High_Performance
58,18,Masters,Operations,31,0.03,32,7,Female,North,0
48,7,PhD,IT,45,0.91,87,0,Female,West,0
34,12,Masters,Finance,57,0.95,83,4,Female,East,1
27,8,Bachelors,HR,55,0.72,19,9,Male,South,0
40,1,PhD,HR,32,0.75,45,5,Female,South,0
58,17,Masters,IT,36,0.37,50,3,Male,East,0
38,14,PhD,Sales,53,0.88,67,3,Male,East,1
42,22,PhD,R&D,36,0.3,62,3,Male,West,1
30,10,PhD,HR,53,0.57,81,6,Male,East,1
30,23,Bachelors,IT,33,0.74,38,2,Male,East,1
43,14,Masters,HR,43,0.58,37,8,Female,East,1
55,20,Bachelors,Operations,54,0.49,83,0,Female,West,1
59,17,Bachelors,IT,46,0.23,75,7,Female,West,1
43,13,Masters,IT,35,0.66,76,5,Female,West,0
22,25,Bachelors,HR,33,0.76,7,1,Male,West,0
41,20,High School,Finance,46,0.57,73,3,Female,West,1
21,18,Masters,R&D,38,0.82,53,6,Female,South,1
43,12,High School,IT,46,0.6,56,7,Female,West,0
49,24,Masters,IT,33,0.75,21,4,Female,South,1
57,15,Masters,Finance,52,0.93,63,0,Male,North,1
21,1,Bachelors,Finance,48,0.27,55,4,Male,South,0
40,24,Bachelors,Finance,48,0.45,49,0,Male,South,0
52,1,Bachelors,R&D,55,0.91,0,7,Female,South,0
31,16,PhD,Sales,59,0.49,66,9,Male,East,1
41,25,Masters,Sales,40,0.01,99,6,Male,South,1
44,21,PhD,R&D,40,0.04,28,7,Female,South,0
46,26,Bachelors,Finance,54,0.1,76,5,Male,East,1
47,21,High School,Sales,55,0.41,97,7,Male,North,1
35,19,High School,Finance,56,0.38,71,1,Female,West,1
34,28,Masters,Operations,31,0.62,6,4,Female,South,0
22,17,PhD,R&D,53,0.21,54,0,Male,East,0
56,28,Masters,Operations,59,0.42,26,5,Male,West,1
26,9,Bachelors,IT,45,0.69,71,0,Female,South,1
40,11,PhD,R&D,57,0.99,2,8,Female,West,1
28,26,High School,IT,35,0.47,38,6,Female,West,0
58,2,Bachelors,Finance,37,0.0,86,7,Male,South,0
37,28,Bachelors,Finance,44,0.62,31,6,Female,East,1
23,5,Bachelors,Sales,37,0.52,63,2,Female,West,0
44,19,PhD,IT,40,0.35,5,6,Female,West,0
33,4,Bachelors,Sales,30,0.33,33,4,Male,West,0
28,26,High School,HR,34,0.73,53,1,Male,East,1
45,24,Bachelors,Finance,37,0.32,81,1,Female,South,0
21,20,PhD,IT,46,0.97,94,9,Female,South,1
39,25,PhD,IT,50,0.1,88,6,Female,South,1
47,26,High School,Sales,58,0.09,79,5,Female,South,1
26,7,PhD,Operations,51,0.92,43,0,Male,West,1
27,17,High School,Finance,49,0.42,88,2,Female,North,1
54,15,Masters,Finance,52,0.48,59,6,Female,East,1
33,27,Bachelors,Finance,40,0.1,60,8,Male,South,1
36,13,Masters,Operations,58,0.36,91,2,Male,South,1
55,5,Masters,R&D,34,0.56,83,5,Female,East,0
59,10,Masters,Finance,58,0.09,46,9,Male,North,0
23,26,High School,Operations,47,0.7,43,4,Male,East,1
21,5,Bachelors,Operations,32,0.65,10,0,Male,East,0
25,4,Masters,Sales,34,0.58,7,4,Male,West,0
23,14,High School,Finance,56,0.37,64,3,Female,East,0
48,5,PhD,Operations,59,0.38,94,3,Female,West,1
37,29,Masters,Operations,47,0.87,22,6,Male,North,1
45,20,High School,Sales,38,0.03,16,3,Female,North,0
53,15,High School,Finance,54,0.76,83,9,Female,West,1
29,17,High School,HR,34,0.19,40,6,Female,North,0
55,20,High School,R&D,47,0.77,11,7,Female,West,0
33,0,Bachelors,Operations,30,0.49,20,6,Female,North,0
50,2,PhD,IT,49,0.36,18,3,Male,North,0
34,29,High School,R&D,49,0.28,24,0,Female,North,1
27,22,Masters,Sales,59,0.48,53,6,Female,North,1
33,19,PhD,R&D,49,0.71,74,7,Female,West,1
42,23,Bachelors,Sales,43,0.55,50,3,Female,East,1
59,2,Masters,Sales,35,0.64,42,5,Female,East,0
40,6,PhD,Finance,45,0.94,76,7,Female,West,1
35,13,PhD,HR,59,0.62,2,8,Female,North,0
37,17,Bachelors,IT,50,0.59,6,3,Female,South,1
43,29,Masters,R&D,36,0.38,1,0,Male,East,0
45,23,Masters,R&D,44,0.32,56,7,Female,South,0
44,14,High School,R&D,34,0.53,32,8,Male,West,0
48,12,PhD,Sales,38,0.01,84,3,Female,West,0
34,18,Masters,Operations,45,0.58,93,6,Male,West,1
20,28,Bachelors,HR,35,0.33,62,9,Male,East,1
44,21,Masters,HR,45,0.78,52,2,Male,North,1
26,1,High School,Sales,50,0.14,33,3,Male,East,0
28,6,PhD,IT,59,0.72,2,8,Male,South,0
43,12,High School,Sales,30,0.45,47,5,Male,North,0
20,3,Bachelors,IT,35,0.42,88,2,Male,South,0
27,5,Masters,Sales,34,0.05,35,3,Female,North,0
43,17,High School,Sales,59,0.34,87,8,Female,North,1
30,18,Bachelors,Sales,39,0.93,88,2,Male,West,1
36,14,Bachelors,Finance,45,0.01,48,6,Male,South,0
27,2,High School,Sales,32,0.14,68,1,Female,North,0
54,19,Bachelors,HR,57,0.79,51,4,Female,West,1
54,16,Masters,Operations,33,0.41,85,5,Female,East,1
52,15,Masters,R&D,39,0.15,92,0,Female,West,0
24,12,Masters,R&D,50,0.17,34,3,Male,North,0
58,21,Bachelors,Operations,38,0.12,55,5,Female,South,0
47,26,Bachelors,Sales,56,0.04,60,5,Male,South,1
26,21,Masters,Finance,38,0.99,46,3,Male,North,1
28,19,Masters,Sales,51,0.49,99,1,Female,North,1
27,7,PhD,Sales,40,0.27,59,8,Male,North,0
31,20,High School,IT,35,0.52,90,9,Female,East,1
53,25,Masters,R&D,45,0.37,72,4,Male,South,1
52,13,Bachelors,R&D,54,0.81,81,8,Male,South,1
42,3,High School,HR,56,0.6,41,3,Female,East,0
43,6,Bachelors,R&D,59,0.83,99,9,Male,South,1
56,9,Bachelors,IT,37,0.24,57,4,Male,South,0
54,14,PhD,R&D,52,0.54,55,4,Female,North,1
59,25,Masters,Operations,51,0.26,69,2,Male,South,0
41,15,PhD,R&D,31,0.25,45,1,Male,South,0
46,7,High School,Finance,53,0.18,16,4,Male,South,0
54,1,Bachelors,IT,44,0.4,68,9,Female,East,0
20,28,Bachelors,HR,39,0.7,63,9,Female,West,1
54,16,Masters,HR,55,0.51,10,4,Male,North,0
56,5,Bachelors,HR,34,0.97,29,4,Female,East,0
33,15,Bachelors,Operations,45,0.27,12,1,Male,West,0
22,1,PhD,IT,35,0.69,3,7,Female,South,0
20,26,Masters,HR,32,0.37,50,3,Female,North,1
24,23,Masters,Operations,46,0.35,14,2,Female,North,0
45,28,Masters,Finance,42,0.43,57,1,Male,East,1
33,20,Bachelors,Sales,45,0.24,51,5,Female,East,0
58,17,PhD,Finance,35,0.93,0,6,Male,South,0
46,10,High School,IT,45,0.38,98,3,Male,North,1
28,11,Bachelors,Finance,56,0.26,34,8,Female,East,1
34,4,PhD,R&D,42,0.59,95,0,Female,East,0
34,1,High School,Operations,45,0.16,16,8,Male,West,0
45,21,Bachelors,IT,33,0.73,36,3,Male,North,0
32,23,Bachelors,HR,34,0.41,20,8,Male,South,0
51,17,High School,Operations,33,0.52,78,2,Female,North,0
58,21,Bachelors,R&D,50,0.83,62,0,Female,East,1
51,5,Bachelors,IT,30,0.14,20,4,Male,East,0
23,0,Bachelors,R&D,44,0.59,41,0,Female,East,0
49,8,PhD,R&D,43,0.03,16,5,Male,East,0
56,14,PhD,IT,49,0.4,78,9,Male,South,1
42,27,Bachelors,Operations,33,0.85,41,6,Female,South,1
58,7,PhD,Finance,57,0.73,29,8,Female,West,0
34,27,Bachelors,Finance,39,0.79,56,1,Female,East,1
48,13,PhD,HR,35,0.42,39,9,Male,North,0
55,3,PhD,R&D,48,0.48,42,5,Female,East,0
32,6,PhD,IT,48,0.84,53,9,Male,East,1
51,19,High School,Finance,34,0.51,49,2,Male,East,0
26,7,Bachelors,IT,32,0.59,42,3,Male,East,0
41,9,High School,Finance,43,0.84,38,1,Female,West,0
47,17,PhD,Operations,58,0.82,28,8,Female,East,0
21,17,PhD,R&D,45,0.24,89,6,Female,East,1
25,18,Bachelors,Operations,52,0.59,43,9,Male,East,0
47,29,Masters,Finance,57,0.21,74,4,Female,West,1
47,3,Bachelors,Operations,32,0.04,57,4,Male,South,0
39,26,Masters,R&D,42,0.1,70,5,Female,South,1
49,12,PhD,IT,33,0.47,93,5,Male,East,0
30,5,High School,R&D,43,0.89,31,8,Female,West,0
47,20,Bachelors,Operations,31,0.48,99,6,Female,North,0
44,25,Masters,HR,46,0.13,3,5,Male,North,0
58,12,Masters,Finance,32,0.14,69,6,Female,East,0
52,25,Masters,HR,33,0.62,70,5,Male,South,1
20,22,Bachelors,R&D,38,0.86,62,4,Male,East,0
46,21,Bachelors,Operations,54,0.32,62,8,Male,South,1
32,29,Masters,Finance,34,0.55,50,5,Male,West,1
22,15,High School,Finance,37,0.89,94,0,Male,South,0
58,19,Masters,IT,55,0.13,93,5,Female,North,1
25,26,High School,IT,34,0.16,11,9,Male,North,0
27,9,Bachelors,Operations,47,0.38,35,5,Female,North,0
46,8,Bachelors,IT,46,0.45,4,2,Female,North,0
28,6,Bachelors,IT,54,0.23,80,0,Female,West,0
56,16,PhD,HR,52,0.55,32,3,Female,North,0
52,23,High School,HR,43,0.9,83,1,Male,North,1
43,19,PhD,HR,45,0.88,28,8,Female,East,1
34,6,Bachelors,Operations,56,0.06,71,8,Male,South,0
51,26,Masters,R&D,36,0.6,69,8,Male,West,0
51,1,Masters,R&D,38,0.22,42,8,Male,South,0
43,27,PhD,R&D,36,0.66,16,6,Female,West,0
