Year,Country,CO2_Emissions,Temperature_Anomaly,Sea_Level_Rise_mm,Deforestation_Rate,Renewable_Energy_%,Population_Millions,Urbanization_%,Greenhouse_Gases_ppm,Climate_Risk_Level
2018,Russia,3596.64,0.657,4.82,0.31,37.64,1365.38,55.76,496.34,Medium
2008,China,8707.08,1.301,2.99,3.26,13.21,1262.08,84.92,405.07,High
1994,UK,4780.7,1.19,2.79,3.24,39.66,167.26,47.75,445.99,Low
2022,Brazil,5032.44,1.829,0.77,0.55,40.13,1012.01,84.08,404.3,Medium
1987,UK,5067.9,0.752,4.89,2.89,19.11,881.2,21.69,425.73,Medium
2000,Pakistan,3864.5,1.007,3.56,0.67,41.32,631.66,51.6,406.75,Low
2018,Russia,5267.69,1.033,2.98,4.8,14.68,337.6,82.15,417.1,High
1998,Pakistan,3081.55,0.581,4.0,2.35,49.46,1174.5,63.24,416.51,Medium
2002,Russia,6073.87,0.838,2.94,4.05,38.0,1094.68,80.18,429.05,High
1990,Russia,4615.73,1.152,3.9,2.46,35.73,27.98,62.56,428.27,Medium
1990,Russia,6692.37,1.149,3.45,0.94,59.5,377.87,44.11,435.09,High
2003,India,5776.05,0.808,2.5,0.58,51.83,961.29,85.05,416.22,Low
2015,Russia,5590.64,0.954,1.93,1.72,20.45,1242.89,56.08,449.6,Low
2019,India,3809.36,1.587,4.41,4.7,59.61,150.4,58.69,405.79,High
2003,Pakistan,5105.29,0.988,1.02,0.2,15.59,449.58,73.73,394.16,Low
1982,India,6133.4,0.807,1.82,1.69,10.56,629.52,80.24,441.04,High
2001,Australia,5174.84,1.626,2.27,2.57,48.84,1289.11,31.3,420.01,Medium
1981,UK,2963.62,1.097,2.51,2.56,15.31,37.38,52.94,409.94,Low
2003,Russia,6478.17,0.743,3.35,1.1,31.05,643.11,34.69,356.19,High
2023,USA,6133.83,1.315,3.18,2.0,26.56,908.95,57.79,390.21,High
2009,Germany,2749.0,0.686,1.85,0.3,22.63,767.61,89.63,431.94,Low
2017,Brazil,5188.77,0.731,2.74,3.91,45.66,215.03,26.04,376.66,High
1981,Pakistan,6222.92,0.845,4.45,4.66,19.37,1178.85,22.23,442.96,High
2000,Canada,4100.64,0.736,3.35,2.57,13.48,906.73,49.51,394.99,Low
