date,region,job_role,avg_salary_usd,job_postings,applicants_per_posting,q10_demand,q50_demand,q90_demand
2019-01-01,North America,Data Scientist,129101.28,669,7.34,654.43,669,679.84
2019-01-01,North America,Machine Learning Engineer,126224.29,597,7.75,586.27,597,601.26
2019-01-01,North America,Data Analyst,126345.13,730,9.38,719.06,730,737.89
2019-01-01,North America,AI Researcher,125908.41,356,12.71,347.63,356,366.33
2019-01-01,North America,MLOps Engineer,132442.04,422,15.26,412.88,422,428.94
2019-01-01,Europe,Data Scientist,107064.93,546,18.64,533.53,546,552.34
2019-01-01,Europe,Machine Learning Engineer,99221.81,479,19.54,468.41,479,489.66
2019-01-01,Europe,Data Analyst,104450.03,653,9.07,644.38,653,666.17
2019-01-01,Europe,AI Researcher,100303.28,341,6.12,332.16,341,352.75
2019-01-01,Europe,MLOps Engineer,114918.83,414,6.11,406.52,414,423.07
2019-01-01,Asia-Pacific,Data Scientist,157316.59,749,9.66,739.56,749,762.54
2019-01-01,Asia-Pacific,Machine Learning Engineer,156260.97,661,12.08,649.92,661,669.06
2019-01-01,Asia-Pacific,Data Analyst,161535.27,906,12.84,891.31,906,914.8
2019-01-01,Asia-Pacific,AI Researcher,139359.37,464,12.63,454.66,464,475.07
2019-01-01,Asia-Pacific,MLOps Engineer,146112.97,542,18.95,533.51,542,553.5
2019-01-01,South America,Data Scientist,91157.03,477,7.8,466.71,477,489.91
2019-01-01,South America,Machine Learning Engineer,88525.52,385,17.27,379.39,385,387.03
2019-01-01,South America,Data Analyst,88220.18,542,10.06,532.48,542,553.21
2019-01-01,South America,AI Researcher,90785.6,311,19.44,301.22,311,320.94
2019-01-01,South America,MLOps Engineer,85173.61,266,5.55,255.82,266,283.39
2019-01-01,Middle East & Africa,Data Scientist,81206.19,395,19.78,388.51,395,407.3
2019-01-01,Middle East & Africa,Machine Learning Engineer,76898.66,348,15.92,333.79,348,353.79
2019-01-01,Middle East & Africa,Data Analyst,88761.82,476,5.61,467.7,476,491.12
2019-01-01,Middle East & Africa,AI Researcher,80036.58,251,8.4,244.19,251,262.42
2019-01-01,Middle East & Africa,MLOps Engineer,86199.74,249,18.87,239.97,249,257.93
2019-02-01,North America,Data Scientist,136785.09,756,13.33,750.82,756,766.55
2019-02-01,North America,Machine Learning Engineer,135081.85,650,15.89,643.96,650,661.85
2019-02-01,North America,Data Analyst,131470.87,922,5.14,911.12,922,929.86
2019-02-01,North America,AI Researcher,133079.91,462,15.68,450.03,462,469.75
2019-02-01,North America,MLOps Engineer,135004.85,512,17.74,499.53,512,527.69
2019-02-01,Europe,Data Scientist,105854.45,605,19.6,597.45,605,617.64
2019-02-01,Europe,Machine Learning Engineer,116651.6,564,12.54,554.79,564,582.16
2019-02-01,Europe,Data Analyst,105285.63,745,19.11,733.55,745,754.63
2019-02-01,Europe,AI Researcher,107511.46,400,10.78,391.34,400,412.57
2019-02-01,Europe,MLOps Engineer,103148.44,443,13.55,431.84,443,453.69
2019-02-01,Asia-Pacific,Data Scientist,157930.68,835,16.11,821.75,835,848.16
2019-02-01,Asia-Pacific,Machine Learning Engineer,142966.31,745,18.01,733.46,745,755.07
2019-02-01,Asia-Pacific,Data Analyst,160780.17,1038,14.75,1025.14,1038,1049.95
2019-02-01,Asia-Pacific,AI Researcher,155692.27,492,13.67,482.71,492,501.88
2019-02-01,Asia-Pacific,MLOps Engineer,136586.28,590,13.86,581.42,590,603.27
2019-02-01,South America,Data Scientist,85150.15,501,14.34,488.96,501,518.17
2019-02-01,South America,Machine Learning Engineer,96135.46,508,19.64,504.08,508,518.56
2019-02-01,South America,Data Analyst,93835.95,587,5.38,577.34,587,594.68
2019-02-01,South America,AI Researcher,88495.89,334,8.75,318.7,334,345.21
2019-02-01,South America,MLOps Engineer,94130.38,363,11.29,349.9,363,370.81
2019-02-01,Middle East & Africa,Data Scientist,79050.43,456,6.47,455.72,456,462.93
2019-02-01,Middle East & Africa,Machine Learning Engineer,75008.87,427,14.53,421.29,427,436.61
2019-02-01,Middle East & Africa,Data Analyst,80234.04,570,17.85,562.94,570,581.39
2019-02-01,Middle East & Africa,AI Researcher,77599.13,277,19.1,268.16,277,281.31
2019-02-01,Middle East & Africa,MLOps Engineer,77539.47,375,13.18,365.46,375,386.76
2019-03-01,North America,Data Scientist,125952.45,743,17.67,734.48,743,751.13
2019-03-01,North America,Machine Learning Engineer,136188.07,681,18.16,668.56,681,692.89
2019-03-01,North America,Data Analyst,126358.82,883,19.86,871.17,883,887.64
2019-03-01,North America,AI Researcher,125650.18,437,18.96,427.65,437,450.3
2019-03-01,North America,MLOps Engineer,135287.81,554,9.8,543.94,554,563.28
2019-03-01,Europe,Data Scientist,108509.28,634,19.25,623.71,634,645.79
2019-03-01,Europe,Machine Learning Engineer,121508.13,532,15.09,525.64,532,544.31
2019-03-01,Europe,Data Analyst,106154.69,765,13.24,752.07,765,774.56
2019-03-01,Europe,AI Researcher,108232.38,365,14.27,356.69,365,373.7
2019-03-01,Europe,MLOps Engineer,113075.1,455,6.22,449.34,455,460.78
2019-03-01,Asia-Pacific,Data Scientist,148399.15,844,11.36,829.57,844,853.09
2019-03-01,Asia-Pacific,Machine Learning Engineer,144882.43,768,6.78,757.03,768,775.52
2019-03-01,Asia-Pacific,Data Analyst,161495.54,1034,9.29,1022.79,1034,1042.97
2019-03-01,Asia-Pacific,AI Researcher,150522.39,536,19.89,525.71,536,543.68
2019-03-01,Asia-Pacific,MLOps Engineer,153734.99,620,11.82,607.12,620,633.6
2019-03-01,South America,Data Scientist,89500.81,563,14.3,555.52,563,571.2
2019-03-01,South America,Machine Learning Engineer,87634.1,407,19.62,396.55,407,411.26
2019-03-01,South America,Data Analyst,92571.06,637,7.44,630.96,637,652.49
2019-03-01,South America,AI Researcher,87888.71,305,19.55,290.94,305,315.83
2019-03-01,South America,MLOps Engineer,78964.81,350,9.1,339.98,350,360.14
2019-03-01,Middle East & Africa,Data Scientist,82491.4,430,19.31,420.43,430,435.89
2019-03-01,Middle East & Africa,Machine Learning Engineer,84241.79,444,10.37,433.0,444,451.75
2019-03-01,Middle East & Africa,Data Analyst,80462.7,595,13.28,584.8,595,608.08
2019-03-01,Middle East & Africa,AI Researcher,75918.47,272,5.43,260.06,272,286.11
2019-03-01,Middle East & Africa,MLOps Engineer,82744.21,315,10.88,310.28,315,327.66
2019-04-01,North America,Data Scientist,131300.87,622,16.75,607.11,622,627.86
2019-04-01,North America,Machine Learning Engineer,129638.94,563,12.39,553.1,563,576.37
2019-04-01,North America,Data Analyst,129201.08,759,6.93,747.9,759,766.18
2019-04-01,North America,AI Researcher,123115.11,383,15.01,370.13,383,391.66
2019-04-01,North America,MLOps Engineer,124699.26,442,6.33,432.32,442,448.89
2019-04-01,Europe,Data Scientist,103411.67,575,5.59,564.89,575,586.54
2019-04-01,Europe,Machine Learning Engineer,114682.45,516,16.22,507.59,516,524.27
2019-04-01,Europe,Data Analyst,97339.43,639,11.94,624.9,639,651.55
2019-04-01,Europe,AI Researcher,110157.41,328,12.98,318.38,328,335.13
2019-04-01,Europe,MLOps Engineer,111119.05,345,5.3,339.27,345,351.82
2019-04-01,Asia-Pacific,Data Scientist,144200.81,740,18.36,724.94,740,752.64
2019-04-01,Asia-Pacific,Machine Learning Engineer,161099.58,684,13.8,676.58,684,692.68
2019-04-01,Asia-Pacific,Data Analyst,147089.48,933,10.45,920.22,933,948.73
2019-04-01,Asia-Pacific,AI Researcher,154222.27,417,7.8,408.46,417,424.51
2019-04-01,Asia-Pacific,MLOps Engineer,131229.3,530,19.74,520.72,530,537.28
2019-04-01,South America,Data Scientist,93399.26,451,18.94,443.93,451,467.13
2019-04-01,South America,Machine Learning Engineer,94198.55,431,7.81,423.29,431,435.59
2019-04-01,South America,Data Analyst,90216.38,517,9.33,509.71,517,523.58
2019-04-01,South America,AI Researcher,102527.0,254,5.78,246.58,254,262.85
2019-04-01,South America,MLOps Engineer,87403.99,351,16.4,344.39,351,358.83
2019-04-01,Middle East & Africa,Data Scientist,72919.03,438,18.94,426.89,438,446.19
