student_id,age,hours_studied_per_week,attendance_rate,previous_term_score,assignments_completed,participation_score,sleep_hours_per_night,internet_access,family_support,study_group,practice_tests_taken,screen_time_hours,distractions_score,late_night_study,final_exam_score
1,29,1.48,90.2,69.16,19,8.63,6.63,1,1,1,9,2.92,8.41,2.04,64.7
2,24,8.64,88.77,89.0,13,5.94,3.89,1,1,0,9,7.01,8.47,2.69,68.8
3,25,1.87,91.03,57.96,6,4.15,7.39,0,1,1,13,3.76,8.39,4.23,54.9
4,28,12.34,78.97,55.52,14,10.0,5.73,1,0,1,6,3.96,3.62,3.38,60.99
5,24,12.02,100.0,73.55,16,6.03,7.02,1,0,0,12,3.11,3.12,2.72,66.59
6,26,3.62,82.15,81.44,6,5.64,7.16,1,1,0,10,4.83,5.98,0.96,61.96
7,27,15.44,85.76,64.01,16,7.67,8.56,0,0,0,5,2.31,7.17,0.49,62.11
8,19,16.33,77.14,79.61,18,4.79,4.26,0,1,0,7,4.92,8.59,3.38,68.39
9,16,12.48,97.96,83.36,19,5.51,7.56,1,1,1,12,1.41,5.98,2.4,77.92
10,20,20.34,79.86,85.05,19,7.62,8.69,0,0,1,6,2.39,6.42,1.96,75.82
11,19,21.36,93.81,70.65,18,3.65,5.05,1,0,1,6,4.21,6.39,4.08,69.8
12,28,5.97,75.37,71.37,8,5.07,8.09,1,0,0,11,3.9,5.19,2.15,55.4
13,28,17.18,87.32,51.92,10,7.78,8.18,0,0,1,4,4.24,6.5,1.47,61.32
14,16,14.2,80.85,72.28,8,9.44,6.18,0,0,1,9,5.19,6.35,2.35,68.36
15,22,14.09,93.24,75.41,16,5.79,4.13,0,1,1,12,3.87,6.7,3.89,72.41
16,27,16.67,81.63,89.18,17,5.74,7.21,0,0,0,5,3.83,7.09,3.01,70.27
17,17,8.4,76.2,56.54,9,8.06,6.27,1,0,1,7,5.5,5.59,3.5,55.69
18,27,9.04,88.71,61.71,12,3.08,9.3,0,1,1,14,2.03,4.02,1.73,63.43
19,17,7.87,73.08,59.83,13,4.6,6.63,1,0,1,11,3.69,8.28,4.0,53.24
20,22,8.23,75.34,82.92,7,4.4,8.03,1,0,1,0,2.97,3.61,1.32,58.97
21,27,11.51,91.73,41.26,6,1.95,7.5,1,0,1,7,1.93,5.27,2.21,49.69
22,20,4.74,66.67,58.85,19,0.31,7.27,0,1,1,12,3.1,3.94,1.41,51.92
23,20,6.77,91.66,97.04,16,5.15,5.14,0,1,0,0,4.59,6.6,2.66,69.26
24,19,14.89,80.66,79.98,17,7.71,5.9,0,1,1,2,4.52,7.0,3.99,71.84
25,26,11.65,75.78,55.86,19,7.24,7.14,0,0,1,11,3.65,4.25,1.08,59.82
26,19,13.91,86.79,71.27,10,8.41,6.86,0,1,0,7,3.75,6.22,2.08,67.68
27,29,2.55,90.48,82.28,5,0.63,6.82,1,1,1,5,3.37,5.94,2.03,59.46
28,22,8.08,78.95,78.69,14,5.66,8.13,1,1,0,12,4.87,5.05,1.81,65.41
29,22,9.22,82.83,69.31,8,8.54,7.05,0,0,0,3,4.87,9.02,2.59,57.23
30,23,12.16,92.1,62.38,15,4.26,8.05,0,0,0,8,3.77,5.83,1.04,61.17
31,24,9.07,91.65,82.1,8,3.41,7.12,1,0,0,5,3.82,8.64,1.61,60.3
32,23,16.67,84.04,71.92,10,6.62,7.54,0,1,1,8,4.78,4.02,1.34,67.31
33,23,11.71,77.24,81.83,17,5.97,6.21,0,1,0,8,3.35,3.39,1.55,68.0
34,29,12.09,75.58,76.82,13,7.19,4.75,1,1,0,3,5.8,6.27,2.88,65.94
35,27,12.07,78.91,66.34,9,5.94,8.24,0,0,1,8,3.66,7.04,1.09,59.21
36,27,15.54,90.99,89.49,10,8.37,8.27,0,0,1,4,2.79,5.71,1.15,76.08
37,25,9.64,90.03,65.95,9,7.3,7.95,1,1,1,8,1.4,4.91,0.86,67.58
38,24,17.61,87.45,77.23,17,6.45,5.78,1,1,1,14,2.9,4.04,1.46,75.03
39,20,14.3,97.75,64.33,11,5.22,8.62,0,0,0,2,3.95,5.9,0.45,58.8
40,29,12.77,81.75,69.21,8,7.33,7.13,0,0,0,1,2.49,6.23,1.05,58.18
41,22,12.21,81.01,68.97,11,4.66,7.23,0,1,1,13,4.22,7.32,1.18,65.8
42,19,14.6,80.97,63.98,11,7.82,5.99,1,0,0,13,4.1,5.83,1.32,61.63
43,27,17.08,100.0,74.88,6,8.19,6.25,1,0,0,4,3.7,5.16,1.44,67.8
44,18,16.73,65.18,87.89,5,7.8,6.04,1,1,0,14,4.55,6.42,3.79,68.26
45,28,13.88,87.38,94.54,15,3.46,7.53,1,1,1,9,4.63,8.76,0.84,74.5
46,24,16.38,88.86,89.4,13,6.81,5.96,0,0,1,2,5.04,7.9,2.92,72.51
47,17,12.59,85.23,69.91,6,6.68,6.94,1,1,1,5,4.96,6.46,4.36,65.95
48,16,18.26,100.0,89.66,5,7.66,6.17,1,1,0,14,3.15,4.09,3.39,80.99
49,22,11.87,95.73,77.08,7,2.92,5.08,0,1,0,1,4.24,6.31,3.31,62.48
50,16,1.62,91.96,93.78,10,4.79,7.06,1,1,0,0,4.8,5.91,1.8,65.39
51,17,18.69,76.2,56.74,8,5.81,7.17,0,0,1,14,3.56,4.73,3.71,59.36
52,23,12.54,89.39,89.96,16,8.68,7.09,0,0,1,0,3.3,0.0,1.97,74.43
53,29,6.14,81.19,64.75,19,4.79,3.0,0,1,0,11,4.6,8.71,3.76,58.3
54,22,11.01,85.13,86.02,13,7.7,8.52,1,0,0,6,2.3,3.52,0.12,67.3
55,27,7.58,86.61,66.36,14,6.25,6.97,0,1,0,10,3.16,5.72,2.28,64.79
56,28,22.5,80.18,83.05,10,9.73,5.56,0,1,1,5,5.03,6.1,3.05,77.46
