"Country","Month","Vaccination_Rate","Booster_Dose_Rate","Vaccine_Type","GDP_per_Capita","Healthcare_Access_Index","Population_Density","Median_Age","Days_Since_First_Vaccine","Stringency_Index","Season","Case_Reduction_Rate"
"Guatemala","Jan-2020","6.4768853810069","1.6995830167799","1","18497.248644284","88.955239488625","1206.218873369","40.658322489473","0","21.440914600706","1","17.136147236447"
"Guatemala","Jan-2020","0","0","1","19400.375623228","86.687436378313","589.5459889941","37.579292631116","0","29.764570245643","1","10.923068373539"
"Guatemala","Mar-2020","0","0","2","18771.260536852","87.117198757016","1188.9049920355","19.48641320704","0","62.528139633101","2","6.9665120433599"
"Guatemala","Mar-2020","0","0","2","19236.646141568","85.068926040643","995.40205112143","19.100432675687","0","83.652428145515","2","5.6714592191229"
"Guatemala","Apr-2020","8.2254491210319","2.6706752629406","1","19442.861731981","85.396988244701","1939.4734092515","42.804250347556","0","85.764925909493","2","9.6672585869766"
"Guatemala","May-2020","2.1863831605386","1.2435047535433","1","18764.117697041","84.667775383283","657.4073582189","30.437673270063","0","38.994432224173","2","11.932252544429"
"Guatemala","Jun-2020","0","0","1","18657.565657098","88.621103724597","158.35578092274","49.580381971217","0","74.057133850766","3","7.3431331500863"
"Guatemala","Jul-2020","5.8212279471304","2.8617323495295","2","18528.137191555","86.303685531782","240.57942845501","45.619309628019","0","63.630868877929","3","12.292979234583"
"Guatemala","Aug-2020","0","0","1","19796.810395436","87.76126211453","1775.5533577269","33.110877605182","0","28.371597215681","3","10.888211159702"
"Guatemala","Sep-2020","9.7296353375579","4.1303360497666","2","19340.458772589","87.16158221151","860.80662653351","18.813412055811","0","27.552399889531","4","18.712397689812"
"Guatemala","Oct-2020","0.87047068238171","0.28354920261966","1","20141.207449268","85.733519124948","826.6620168409","42.177636433378","0","36.015871584414","4","11.01264628749"
"Guatemala","Nov-2020","0","0","3","19948.754735026","87.73956904175","1744.2065744736","43.717506460772","0","33.059904122023","4","10.35466558291"
"Guatemala","Dec-2020","13.47077549348","7.0448931205505","2","19000.25767046","85.006326677954","463.59097345846","31.66744923604","25","77.261033614575","1","16.496300407204"
"Guatemala","Jan-2021","0.9482395243653","0.27389246669649","1","19038.211138954","89.355985982684","653.1738347213","34.601299895788","55","69.211327122662","1","8.1616701560884"
"Guatemala","Feb-2021","45.075503907228","26.368219502911","1","19347.141003953","86.0029311198","576.83258381116","19.180382315345","85","62.669503378593","1","40.018497795155"
"Guatemala","Mar-2021","50.908176975635","15.855788801124","3","18848.45386252","85.188296462983","984.01099295235","49.540814531539","115","36.943869005805","2","43.711640961735"
"Guatemala","Apr-2021","83.92822814515","24.763444832249","2","19096.593582986","87.733835045144","1270.7241244142","35.144789890392","145","26.320283903809","2","69.04645101118"
"Guatemala","May-2021","82.565675177967","22.673145733334","1","19528.366081186","87.970200960714","43.009779566434","34.386977865577","175","35.854704263856","2","68.128525807298"
"Guatemala","Jun-2021","89.376962862739","42.576959196087","1","20197.646041634","85.14978559703","688.72203859001","21.631152679699","205","84.728553279499","3","69.506439338113"
"Guatemala","Jul-2021","96.432549742318","44.744087687795","2","19459.293005512","87.197710650167","491.2860588919","20.979288569789","235","82.805103056733","3","74.86514173706"
"Guatemala","Aug-2021","100","33.561191641948","1","19789.745778817","89.116795111802","1775.3019842876","42.956017467444","265","64.9422152308","3","77.078709788711"
"Guatemala","Sep-2021","100","20.367882064665","1","19668.882063396","84.458007116613","330.00802232082","35.559481259731","295","68.432663838489","4","74.437493215786"
