customer_id,age,account_age_months,num_transactions,avg_transaction_value,credit_score,income,days_since_last_transaction,transaction_amount
1,56,76,24,881.9081803914187,649.6660713473664,58197.8662408027,21,802.82
2,69,49,22,756.8457031156399,686.7783449151286,51428.96096565073,0,687.44
3,46,79,22,421.62186058855445,674.3543279557797,48738.05625276146,30,576.34
4,32,57,12,282.3344020299892,574.5915395313912,26408.743914627667,21,388.68
5,60,95,17,439.0772875139295,582.1088396467279,37704.02965341711,33,534.89
6,25,113,18,357.9525851573978,631.5141657620353,59038.03048380299,11,568.42
7,38,93,21,567.7021321796949,741.4312631220912,39769.67277703923,58,651.2
8,56,26,18,322.82096908557526,607.4204083749199,68080.54333676735,54,486.82
9,36,18,15,489.0766351114487,639.5888645193623,85196.01985990097,22,520.28
10,40,96,17,625.7021081804465,623.1826986521739,59845.77951261984,27,610.57
11,28,86,21,484.8956190774235,622.297780795596,72392.47837047736,51,616.96
12,28,38,18,358.05292658783054,658.9119871952528,60810.908574441026,49,486.94
13,41,81,16,676.2221086378538,720.0388638097826,41986.06965991718,11,635.88
14,53,87,24,218.1528582869259,672.7984199940295,53002.27497211137,26,504.13
15,57,88,18,450.83074161838056,609.8234519286453,80199.81419146163,22,534.23
16,41,50,17,493.7509964927998,787.6614755401604,42146.69386058823,0,570.6
17,20,8,21,502.3862987599447,653.9286610480563,34410.09051682889,59,553.59
18,39,41,18,527.0744084117122,621.1389521808943,32987.08365327096,58,519.14
19,19,6,14,591.565972971424,720.6048187338795,46737.05924249676,42,574.66
20,41,69,13,494.68888414319736,626.546469102809,34947.91867035407,1,498.52
21,61,44,14,444.7912576784479,733.1456827493721,75110.29141155856,43,530.52
22,47,64,28,438.86159830104566,606.4678604516666,53245.348018869314,30,636.95
23,55,29,32,408.2726296942468,721.5015194460684,64575.89464640754,1,720.73
24,19,28,23,618.1314986490298,660.0523832140847,45520.019141304525,48,675.59
25,38,11,26,403.0207280785228,714.5526116351217,32897.042033658225,24,576.36
26,50,65,20,627.0156663512366,745.0882854350772,30359.09081850084,37,630.88
27,29,107,18,502.84986233898064,593.3696354739373,36380.12386732819,47,518.72
28,39,19,24,421.81177897158057,713.7885910379161,55212.88241040066,18,571.68
29,61,9,30,592.7610823616202,579.5548047787297,57798.24397651922,27,726.88
